iceberg_id,start_time,end_time,start_latitude,start_longitude,observed_latitude,observed_longitude,displacement_m,displacement_km,azimuth_deg,observed_u,observed_v,observed_speed,duration_hours,ocean_u,ocean_v,ocean_speed,wind_u,wind_v,wind_speed,temperature,wave_height
d29c,2023-06-16,2023-06-17,-65.564,-49.964,-65.532,-49.878,5340.583590155825,5.340583590155825,48.11883335564072,0.0460211825930709,0.0412651478741967,0.0618123100712479,24.0,-0.005000000353902578,0.05400000140070915,0.05423098887919725,2.9218597412109375,1.5443572998046875,3.3048908933229963,,
d29c,2023-06-17,2023-06-18,-65.532,-49.878,-65.529,-49.831,2198.774377217823,2.198774377217823,81.27095239836828,0.0251540062106408,0.003862155941564,0.0254487775140951,24.0,0.0,0.023000001907348633,0.023000001907348633,1.4127349853515625,1.6169891357421875,2.1472014353442823,,
d29c,2023-06-18,2023-06-19,-65.529,-49.831,-65.529,-49.831,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.014000000432133675,-0.039000000804662704,0.04143669961354831,-4.0516357421875,-4.628448486328125,6.151283409010218,,
d29c,2023-06-19,2023-06-20,-65.529,-49.831,-65.502,-49.872,3558.254375839955,3.558254375839955,-32.232623819167834,-0.0219655492983138,0.0348366946371358,0.0411834997203698,24.0,0.08700000494718552,0.06200000271201134,0.10683164885510153,3.2149200439453125,1.5010223388671875,3.5480669315473254,,
d29c,2023-06-20,2023-06-21,-65.502,-49.872,-65.434,-49.928,8013.927378251818,8.013927378251818,-18.922977414247622,-0.0300797571972763,0.0877409459681485,0.0927537891001367,24.0,-0.04400000348687172,0.0650000050663948,0.07849204396291432,1.3085479736328125,7.995025634765625,8.10140313154814,,
d29c,2023-06-21,2023-06-22,-65.434,-49.928,-65.253,-49.949,20204.77428921105,20.20477428921105,-2.783843759422871,-0.0113577314981908,0.2335755795695303,0.233851554273276,24.0,-0.01600000075995922,0.18900001049041748,0.18967605012150746,8.1051025390625,9.543624877929688,12.520921011625136,,
d29c,2023-06-22,2023-06-23,-65.253,-49.949,-65.146,-49.892,12224.92477405866,12.22492477405866,12.636195075742323,0.0309527889267944,0.1380650688667008,0.1414921848849382,24.0,-0.010000000707805157,0.12000000476837158,0.12041595059860344,4.68804931640625,5.2777557373046875,7.059214688314109,,
d31,2023-08-04,2023-08-05,-62.33,-48.18,-62.338,-47.979,10454.654280681085,10.454654280681083,94.98132143898972,0.1205459219819985,-0.0105068036777912,0.1210029430634384,24.0,-0.005000000353902578,0.026000000536441803,0.02647640518337034,-4.4410858154296875,-1.9608001708984375,4.854686450246413,,
d31,2023-08-05,2023-08-06,-62.338,-47.979,-62.358,-47.82,8532.436445119614,8.532436445119615,105.21413178245392,0.0952938643747867,-0.0259160104770245,0.0987550514481436,24.0,-0.020000001415610313,0.1120000034570694,0.11377170487870862,3.52362060546875,9.93109130859375,10.537669417423867,,
d31,2023-08-06,2023-08-07,-62.358,-47.82,-62.385,-47.69,7370.916859631247,7.370916859631247,114.1526611617416,0.0778432369659777,-0.0349068607588883,0.0853115377272135,24.0,0.0020000000949949026,0.0430000014603138,0.04304648796321215,3.11090087890625,2.0693206787109375,3.7362805501889675,,
d31,2023-08-07,2023-08-08,-62.385,-47.69,-62.415,-47.576,6777.144670079169,6.77714467007917,119.61206190115291,0.0681943064582722,-0.0387587493440324,0.0784391744222126,24.0,0.021000001579523087,0.027000000700354576,0.03420526427553396,1.121551513671875,-3.64349365234375,3.812207207444117,,
d31,2023-08-08,2023-08-09,-62.415,-47.576,-62.442,-47.465,6475.971075985861,6.475971075985861,117.73833478703672,0.0663399089054567,-0.034885871081645,0.0749533689350215,24.0,0.005000000353902578,0.10100000351667404,0.10112369017152803,7.0095367431640625,3.4433135986328125,7.809610354703793,,
d31,2023-08-09,2023-08-10,-62.442,-47.465,-62.462,-47.344,6631.8884682436255,6.631888468243625,109.69380747653778,0.0722681624303033,-0.0258669366015457,0.0767579683824493,24.0,0.015000000596046448,0.03400000184774399,0.03716181028324627,-3.0790557861328125,-1.363800048828125,3.3675710990714878,,
d31,2023-08-10,2023-08-11,-62.462,-47.344,-62.47,-47.2,7483.157315027374,7.483157315027374,96.90694125942348,0.0859820647979494,-0.0104155423616354,0.0866106170720761,24.0,0.1900000125169754,-0.10600000619888306,0.2175683940066067,4.7187347412109375,-13.3033447265625,14.115432634944964,,
